City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,243,Luderitz,,-26.6481,15.1594,70.56,37,0,9.66,clear sky
244,244,Muros,ES,42.7762,-9.0603,73.24,84,11,8.75,few clouds
245,245,Tonota,BW,-21.4833,27.4833,68.81,59,0,20.09,clear sky
246,246,Porto-Vecchio,FR,41.591,9.2795,85.66,48,0,10.36,clear sky
247,247,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,89.06,56,90,1.92,overcast clouds
248,248,Port Said,EG,31.2565,32.2841,82.63,67,0,18.19,clear sky
249,249,Faanui,PF,-16.4833,-151.75,78.8,78,16,16.84,light rain
250,250,Koslan,RU,63.4564,48.8989,47.26,96,100,9.55,overcast clouds
251,251,Sitka,US,57.0531,-135.33,55.29,94,90,6.91,light rain
252,252,Shitanjing,CN,39.2342,106.3439,71.15,16,21,5.86,few clouds
253,253,Bourail,NC,-21.5667,165.4833,62.8,68,96,9.57,overcast clouds
254,254,Namibe,AO,-15.1961,12.1522,69.84,81,45,9.89,scattered clouds
255,255,Nanortalik,GL,60.1432,-45.2371,47.32,86,100,1.83,overcast clouds
256,256,Ossora,RU,59.2353,163.0719,37.35,63,14,8.72,few clouds
257,257,Inhambane,MZ,-23.865,35.3833,73.47,74,85,8.75,overcast clouds
258,258,Tilichiki,RU,60.4667,166.1,32.97,66,89,6.29,overcast clouds
259,259,Aklavik,CA,68.2191,-135.0107,45.21,74,84,7.31,broken clouds
260,260,Saskylakh,RU,71.9167,114.0833,41.05,53,100,10.67,overcast clouds
261,261,Ponta Do Sol,PT,32.6667,-17.1,80.13,74,20,3.0,few clouds
262,262,Yining,CN,29.0361,114.5636,74.3,91,3,0.78,light rain
263,263,Ambilobe,MG,-13.2,49.05,77.54,51,34,7.09,scattered clouds
264,264,Bodden Town,KY,19.2833,-81.25,89.6,70,20,7.0,few clouds
265,265,Kralendijk,BQ,12.15,-68.2667,87.78,74,40,13.8,scattered clouds
266,266,Mahebourg,MU,-20.4081,57.7,71.26,73,75,9.22,broken clouds
267,267,Luba,GQ,3.4568,8.5547,80.15,82,70,6.49,broken clouds
268,268,Guerrero Negro,MX,27.9769,-114.0611,72.7,79,23,12.26,few clouds
