City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Pimentel,PE,2021-09-05 21:18:48,-6.8367,-79.9342,68.29,68,20,21.85
284,Sao Filipe,CV,2021-09-05 21:18:49,14.8961,-24.4956,78.93,84,14,4.97
285,Moose Factory,CA,2021-09-05 21:18:49,51.2585,-80.6094,62.6,82,90,13.8
286,Say,NE,2021-09-05 21:18:50,13.1007,2.3689,88.36,73,100,5.55
287,Shaowu,CN,2021-09-05 21:18:50,27.3409,117.4831,76.33,86,100,1.32
288,Khatanga,RU,2021-09-05 21:18:51,71.9667,102.5,48.83,88,66,8.16
289,Kropotkin,RU,2021-09-05 21:18:51,45.4375,40.5756,59.38,57,35,8.81
290,Bontang,ID,2021-09-05 21:18:52,0.1333,117.5,77.81,87,100,8.66
291,Kavaratti,IN,2021-09-05 21:18:53,10.5669,72.642,81.57,77,100,16.49
292,Muravlenko,RU,2021-09-05 21:18:53,63.7898,74.523,56.25,64,100,6.67
